12.0750	0.829
12.1000	0.825
12.1250	0.818
12.1500	0.811
12.1750	0.804
12.2000	0.795
12.2250	0.787
12.2500	0.778
12.2750	0.768
12.3000	0.759
12.3250	0.748
12.3500	0.738
12.3750	0.727
12.4000	0.718
12.4250	0.707
12.4500	0.696
12.4750	0.686
12.5000	0.677
12.5250	0.668
12.5500	0.658
12.5750	0.650
12.6000	0.642
12.6250	0.636
12.6500	0.630
12.6750	0.625
12.7000	0.620
12.7250	0.617
12.7500	0.614
12.7750	0.613
12.8000	0.613
12.8250	0.613
12.8500	0.613
12.8750	0.614
12.9000	0.617
12.9250	0.620
12.9500	0.625
12.9750	0.630
13.0000	0.636
13.0250	0.642
13.0500	0.650
13.0750	0.657
13.1000	0.664
13.1250	0.674
13.1500	0.682
13.1750	0.690
13.2000	0.699
13.2250	0.707
13.2500	0.715
13.2750	0.723
13.3000	0.730
13.3250	0.738
13.3500	0.746
13.3750	0.752
13.4000	0.759
13.4250	0.765
13.4500	0.770
13.4750	0.774
13.5000	0.778
13.5250	0.781
13.5500	0.784
13.5750	0.785
13.6000	0.785
13.6250	0.787
13.6500	0.787
13.6750	0.785
13.7000	0.784
13.7250	0.781
13.7500	0.779
13.7750	0.776
13.8000	0.773
13.8250	0.768
13.8500	0.763
13.8750	0.759
13.9000	0.754
13.9250	0.749
13.9500	0.745
13.9750	0.738
14.0000	0.732
14.0250	0.727
14.0500	0.721
14.0750	0.715
14.1000	0.710
14.1250	0.704
14.1500	0.699
14.1750	0.694
14.2000	0.688
14.2250	0.683
14.2500	0.680
14.2750	0.675
14.3000	0.672
14.3250	0.669
14.3500	0.666
14.3750	0.664
14.4000	0.663
14.4250	0.661
14.4500	0.661
14.4750	0.660
14.5000	0.660
14.5250	0.661
14.5500	0.661
14.5750	0.663
14.6000	0.666
14.6250	0.668
14.6500	0.671
14.6750	0.674
14.7000	0.677
14.7250	0.680
14.7500	0.685
14.7750	0.688
14.8000	0.693
14.8250	0.696
14.8500	0.701
14.8750	0.704
14.9000	0.707
14.9250	0.712
14.9500	0.715
14.9750	0.718
15.0000	0.721
15.0250	0.724
15.0500	0.727
15.0750	0.730
15.1000	0.732
15.1250	0.734
15.1500	0.737
15.1750	0.737
15.2000	0.738
15.2250	0.738
15.2500	0.738
15.2750	0.738
15.3000	0.738
15.3250	0.738
15.3500	0.738
15.3750	0.738
15.4000	0.737
15.4250	0.737
15.4500	0.735
15.4750	0.734
